[2026-02-01 05:13] Model: trial_26 | Dataset: ag-news | Acc: 0.9361 | F1-Macro: 0.9361
[2026-02-01 05:13] Model: trial_26 | Dataset: mnli | Acc: 0.5234 | F1-Macro: 0.5113
[2026-02-01 05:16] Model: trial_27 | Dataset: sst2 | Acc: 0.7202 | F1-Macro: 0.6956
[2026-02-01 05:16] Model: trial_27 | Dataset: ag-news | Acc: 0.9358 | F1-Macro: 0.9358
[2026-02-01 05:16] Model: trial_27 | Dataset: mnli | Acc: 0.4894 | F1-Macro: 0.4693
[2026-02-01 05:19] Model: trial_28 | Dataset: sst2 | Acc: 0.6881 | F1-Macro: 0.6528
[2026-02-01 05:19] Model: trial_28 | Dataset: ag-news | Acc: 0.9351 | F1-Macro: 0.9352
[2026-02-01 05:19] Model: trial_28 | Dataset: mnli | Acc: 0.5257 | F1-Macro: 0.5100
[2026-02-01 05:21] Model: trial_29 | Dataset: sst2 | Acc: 0.7913 | F1-Macro: 0.7816
[2026-02-01 05:21] Model: trial_29 | Dataset: ag-news | Acc: 0.9355 | F1-Macro: 0.9356
[2026-02-01 05:21] Model: trial_29 | Dataset: mnli | Acc: 0.4670 | F1-Macro: 0.4440
[2026-02-01 05:24] Model: trial_30 | Dataset: sst2 | Acc: 0.6583 | F1-Macro: 0.6110
[2026-02-01 05:24] Model: trial_30 | Dataset: ag-news | Acc: 0.9357 | F1-Macro: 0.9357
[2026-02-01 05:24] Model: trial_30 | Dataset: mnli | Acc: 0.4569 | F1-Macro: 0.4273
[2026-02-01 05:30] Model: trial_32 | Dataset: sst2 | Acc: 0.8142 | F1-Macro: 0.8076
[2026-02-01 05:30] Model: trial_32 | Dataset: ag-news | Acc: 0.9338 | F1-Macro: 0.9339
[2026-02-01 05:30] Model: trial_32 | Dataset: mnli | Acc: 0.5440 | F1-Macro: 0.5370
[2026-02-01 05:33] Model: trial_33 | Dataset: sst2 | Acc: 0.8154 | F1-Macro: 0.8089
[2026-02-01 05:33] Model: trial_33 | Dataset: ag-news | Acc: 0.9334 | F1-Macro: 0.9335
[2026-02-01 05:33] Model: trial_33 | Dataset: mnli | Acc: 0.5405 | F1-Macro: 0.5326
[2026-02-01 05:36] Model: trial_34 | Dataset: sst2 | Acc: 0.7466 | F1-Macro: 0.7285
[2026-02-01 05:36] Model: trial_34 | Dataset: ag-news | Acc: 0.9355 | F1-Macro: 0.9356
[2026-02-01 05:36] Model: trial_34 | Dataset: mnli | Acc: 0.5210 | F1-Macro: 0.5077
[2026-02-01 05:39] Model: trial_35 | Dataset: sst2 | Acc: 0.8337 | F1-Macro: 0.8293
[2026-02-01 05:39] Model: trial_35 | Dataset: ag-news | Acc: 0.9313 | F1-Macro: 0.9314
[2026-02-01 05:39] Model: trial_35 | Dataset: mnli | Acc: 0.5588 | F1-Macro: 0.5541
[2026-02-01 05:42] Model: trial_36 | Dataset: sst2 | Acc: 0.8257 | F1-Macro: 0.8204
[2026-02-01 05:42] Model: trial_36 | Dataset: ag-news | Acc: 0.9337 | F1-Macro: 0.9337
[2026-02-01 05:42] Model: trial_36 | Dataset: mnli | Acc: 0.5321 | F1-Macro: 0.5236
[2026-02-01 05:45] Model: trial_37 | Dataset: sst2 | Acc: 0.7993 | F1-Macro: 0.7905
[2026-02-01 05:45] Model: trial_37 | Dataset: ag-news | Acc: 0.9351 | F1-Macro: 0.9352
[2026-02-01 05:45] Model: trial_37 | Dataset: mnli | Acc: 0.4840 | F1-Macro: 0.4615
[2026-02-01 05:48] Model: trial_38 | Dataset: sst2 | Acc: 0.7695 | F1-Macro: 0.7560
[2026-02-01 05:48] Model: trial_38 | Dataset: ag-news | Acc: 0.9347 | F1-Macro: 0.9348
[2026-02-01 05:48] Model: trial_38 | Dataset: mnli | Acc: 0.4928 | F1-Macro: 0.4719
[2026-02-01 05:51] Model: trial_39 | Dataset: sst2 | Acc: 0.8463 | F1-Macro: 0.8429
[2026-02-01 05:51] Model: trial_39 | Dataset: ag-news | Acc: 0.9258 | F1-Macro: 0.9258
[2026-02-01 05:51] Model: trial_39 | Dataset: mnli | Acc: 0.6079 | F1-Macro: 0.6092
[2026-02-01 05:54] Model: trial_41 | Dataset: sst2 | Acc: 0.6021 | F1-Macro: 0.5209
[2026-02-01 05:54] Model: trial_41 | Dataset: ag-news | Acc: 0.9305 | F1-Macro: 0.9306
[2026-02-01 05:54] Model: trial_41 | Dataset: mnli | Acc: 0.5964 | F1-Macro: 0.5910
[2026-02-01 05:57] Model: trial_42 | Dataset: sst2 | Acc: 0.8291 | F1-Macro: 0.8244
[2026-02-01 05:57] Model: trial_42 | Dataset: ag-news | Acc: 0.9325 | F1-Macro: 0.9325
[2026-02-01 05:57] Model: trial_42 | Dataset: mnli | Acc: 0.5538 | F1-Macro: 0.5506
[2026-02-01 06:00] Model: trial_43 | Dataset: sst2 | Acc: 0.8417 | F1-Macro: 0.8380
[2026-02-01 06:00] Model: trial_43 | Dataset: ag-news | Acc: 0.9304 | F1-Macro: 0.9304
[2026-02-01 06:00] Model: trial_43 | Dataset: mnli | Acc: 0.5760 | F1-Macro: 0.5747
[2026-02-01 06:03] Model: trial_44 | Dataset: sst2 | Acc: 0.8383 | F1-Macro: 0.8343
[2026-02-01 06:03] Model: trial_44 | Dataset: ag-news | Acc: 0.9303 | F1-Macro: 0.9303
[2026-02-01 06:03] Model: trial_44 | Dataset: mnli | Acc: 0.5791 | F1-Macro: 0.5774
[2026-02-01 06:06] Model: trial_45 | Dataset: sst2 | Acc: 0.8440 | F1-Macro: 0.8406
[2026-02-01 06:06] Model: trial_45 | Dataset: ag-news | Acc: 0.9263 | F1-Macro: 0.9264
[2026-02-01 06:06] Model: trial_45 | Dataset: mnli | Acc: 0.5945 | F1-Macro: 0.5940
[2026-02-01 06:09] Model: trial_46 | Dataset: sst2 | Acc: 0.8429 | F1-Macro: 0.8395
[2026-02-01 06:09] Model: trial_46 | Dataset: ag-news | Acc: 0.9261 | F1-Macro: 0.9261
[2026-02-01 06:09] Model: trial_46 | Dataset: mnli | Acc: 0.6061 | F1-Macro: 0.6062
[2026-02-01 06:12] Model: trial_47 | Dataset: sst2 | Acc: 0.8417 | F1-Macro: 0.8381
[2026-02-01 06:12] Model: trial_47 | Dataset: ag-news | Acc: 0.9261 | F1-Macro: 0.9261
[2026-02-01 06:12] Model: trial_47 | Dataset: mnli | Acc: 0.6041 | F1-Macro: 0.6041
[2026-02-01 06:15] Model: trial_48 | Dataset: sst2 | Acc: 0.7901 | F1-Macro: 0.7800
[2026-02-01 06:15] Model: trial_48 | Dataset: ag-news | Acc: 0.9257 | F1-Macro: 0.9258
[2026-02-01 06:15] Model: trial_48 | Dataset: mnli | Acc: 0.6167 | F1-Macro: 0.6149
[2026-02-01 06:18] Model: trial_49 | Dataset: sst2 | Acc: 0.8154 | F1-Macro: 0.8087
[2026-02-01 06:18] Model: trial_49 | Dataset: ag-news | Acc: 0.9237 | F1-Macro: 0.9238
[2026-02-01 06:18] Model: trial_49 | Dataset: mnli | Acc: 0.6244 | F1-Macro: 0.6244
[2026-02-01 06:21] Model: trial_50 | Dataset: sst2 | Acc: 0.8142 | F1-Macro: 0.8074
[2026-02-01 06:21] Model: trial_50 | Dataset: ag-news | Acc: 0.9207 | F1-Macro: 0.9208
[2026-02-01 06:21] Model: trial_50 | Dataset: mnli | Acc: 0.6366 | F1-Macro: 0.6373
[2026-02-01 06:24] Model: trial_51 | Dataset: sst2 | Acc: 0.8406 | F1-Macro: 0.8367
[2026-02-01 06:24] Model: trial_51 | Dataset: ag-news | Acc: 0.9229 | F1-Macro: 0.9230
[2026-02-01 06:24] Model: trial_51 | Dataset: mnli | Acc: 0.6208 | F1-Macro: 0.6209
[2026-02-01 06:27] Model: trial_52 | Dataset: sst2 | Acc: 0.8406 | F1-Macro: 0.8366
[2026-02-01 06:27] Model: trial_52 | Dataset: ag-news | Acc: 0.9220 | F1-Macro: 0.9221
[2026-02-01 06:27] Model: trial_52 | Dataset: mnli | Acc: 0.6275 | F1-Macro: 0.6279
[2026-02-01 06:30] Model: trial_53 | Dataset: sst2 | Acc: 0.8440 | F1-Macro: 0.8404
[2026-02-01 06:30] Model: trial_53 | Dataset: ag-news | Acc: 0.9204 | F1-Macro: 0.9205
[2026-02-01 06:30] Model: trial_53 | Dataset: mnli | Acc: 0.6298 | F1-Macro: 0.6304
[2026-02-01 06:33] Model: trial_54 | Dataset: sst2 | Acc: 0.8486 | F1-Macro: 0.8452
[2026-02-01 06:33] Model: trial_54 | Dataset: ag-news | Acc: 0.9070 | F1-Macro: 0.9073
[2026-02-01 06:33] Model: trial_54 | Dataset: mnli | Acc: 0.6533 | F1-Macro: 0.6549
[2026-02-01 06:36] Model: trial_55 | Dataset: sst2 | Acc: 0.8498 | F1-Macro: 0.8464
[2026-02-01 06:36] Model: trial_55 | Dataset: ag-news | Acc: 0.9068 | F1-Macro: 0.9072
[2026-02-01 06:36] Model: trial_55 | Dataset: mnli | Acc: 0.6539 | F1-Macro: 0.6555
[2026-02-01 06:39] Model: trial_56 | Dataset: sst2 | Acc: 0.8555 | F1-Macro: 0.8525
[2026-02-01 06:39] Model: trial_56 | Dataset: ag-news | Acc: 0.9057 | F1-Macro: 0.9060
[2026-02-01 06:39] Model: trial_56 | Dataset: mnli | Acc: 0.6547 | F1-Macro: 0.6563
[2026-02-01 06:42] Model: trial_57 | Dataset: sst2 | Acc: 0.8567 | F1-Macro: 0.8537
[2026-02-01 06:42] Model: trial_57 | Dataset: ag-news | Acc: 0.9057 | F1-Macro: 0.9060
[2026-02-01 06:42] Model: trial_57 | Dataset: mnli | Acc: 0.6545 | F1-Macro: 0.6561
[2026-02-01 06:45] Model: trial_58 | Dataset: sst2 | Acc: 0.8498 | F1-Macro: 0.8463
[2026-02-01 06:45] Model: trial_58 | Dataset: ag-news | Acc: 0.9083 | F1-Macro: 0.9086
[2026-02-01 06:45] Model: trial_58 | Dataset: mnli | Acc: 0.6522 | F1-Macro: 0.6539
[2026-02-01 06:48] Model: trial_59 | Dataset: sst2 | Acc: 0.8142 | F1-Macro: 0.8074
[2026-02-01 06:48] Model: trial_59 | Dataset: ag-news | Acc: 0.9153 | F1-Macro: 0.9155
[2026-02-01 06:48] Model: trial_59 | Dataset: mnli | Acc: 0.6435 | F1-Macro: 0.6444
[2026-02-01 06:51] Model: trial_60 | Dataset: sst2 | Acc: 0.8475 | F1-Macro: 0.8441
[2026-02-01 06:51] Model: trial_60 | Dataset: ag-news | Acc: 0.9208 | F1-Macro: 0.9209
[2026-02-01 06:51] Model: trial_60 | Dataset: mnli | Acc: 0.6344 | F1-Macro: 0.6356
[2026-02-01 06:54] Model: trial_61 | Dataset: sst2 | Acc: 0.8544 | F1-Macro: 0.8515
[2026-02-01 06:54] Model: trial_61 | Dataset: ag-news | Acc: 0.9229 | F1-Macro: 0.9230
[2026-02-01 06:54] Model: trial_61 | Dataset: mnli | Acc: 0.6017 | F1-Macro: 0.6012
[2026-02-01 06:57] Model: trial_62 | Dataset: sst2 | Acc: 0.8463 | F1-Macro: 0.8427
[2026-02-01 06:57] Model: trial_62 | Dataset: ag-news | Acc: 0.9157 | F1-Macro: 0.9159
[2026-02-01 06:57] Model: trial_62 | Dataset: mnli | Acc: 0.6435 | F1-Macro: 0.6447
[2026-02-01 07:00] Model: trial_63 | Dataset: sst2 | Acc: 0.8268 | F1-Macro: 0.8216
[2026-02-01 07:00] Model: trial_63 | Dataset: ag-news | Acc: 0.9207 | F1-Macro: 0.9208
[2026-02-01 07:00] Model: trial_63 | Dataset: mnli | Acc: 0.6250 | F1-Macro: 0.6249
[2026-02-01 07:03] Model: trial_64 | Dataset: sst2 | Acc: 0.8578 | F1-Macro: 0.8551
[2026-02-01 07:03] Model: trial_64 | Dataset: ag-news | Acc: 0.8986 | F1-Macro: 0.8990
[2026-02-01 07:03] Model: trial_64 | Dataset: mnli | Acc: 0.6657 | F1-Macro: 0.6677
[2026-02-01 07:06] Model: trial_65 | Dataset: sst2 | Acc: 0.8670 | F1-Macro: 0.8649
[2026-02-01 07:06] Model: trial_65 | Dataset: ag-news | Acc: 0.9157 | F1-Macro: 0.9159
[2026-02-01 07:06] Model: trial_65 | Dataset: mnli | Acc: 0.5624 | F1-Macro: 0.5568
[2026-02-01 07:09] Model: trial_66 | Dataset: sst2 | Acc: 0.8085 | F1-Macro: 0.8008
[2026-02-01 07:09] Model: trial_66 | Dataset: ag-news | Acc: 0.9274 | F1-Macro: 0.9275
[2026-02-01 07:09] Model: trial_66 | Dataset: mnli | Acc: 0.6057 | F1-Macro: 0.6039
[2026-02-01 07:11] Model: trial_67 | Dataset: sst2 | Acc: 0.8200 | F1-Macro: 0.8138
[2026-02-01 07:11] Model: trial_67 | Dataset: ag-news | Acc: 0.9074 | F1-Macro: 0.9077
[2026-02-01 07:11] Model: trial_67 | Dataset: mnli | Acc: 0.6564 | F1-Macro: 0.6577
[2026-02-01 07:14] Model: trial_68 | Dataset: sst2 | Acc: 0.7236 | F1-Macro: 0.6991
[2026-02-01 07:14] Model: trial_68 | Dataset: ag-news | Acc: 0.9321 | F1-Macro: 0.9321
[2026-02-01 07:14] Model: trial_68 | Dataset: mnli | Acc: 0.5842 | F1-Macro: 0.5792
[2026-02-01 07:17] Model: trial_69 | Dataset: sst2 | Acc: 0.8372 | F1-Macro: 0.8332
[2026-02-01 07:17] Model: trial_69 | Dataset: ag-news | Acc: 0.9299 | F1-Macro: 0.9300
[2026-02-01 07:17] Model: trial_69 | Dataset: mnli | Acc: 0.5146 | F1-Macro: 0.5000
[2026-02-01 07:20] Model: trial_70 | Dataset: sst2 | Acc: 0.8475 | F1-Macro: 0.8442
[2026-02-01 07:20] Model: trial_70 | Dataset: ag-news | Acc: 0.9242 | F1-Macro: 0.9243
